2019-11-18 13:49:17 INFO     Connection established with ('127.0.0.1', 65173)
2019-11-18 13:49:55,926 WARNING  Client disconnected: <socket.socket fd=1572, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 65173)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 13:49:55 WARNING  Client disconnected: <socket.socket fd=1572, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 65173)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 13:49:58,646 ERROR    Socket error: [WinError 10053] An established connection was aborted by the software in your host machine
2019-11-18 13:49:58 ERROR    Socket error: [WinError 10053] An established connection was aborted by the software in your host machine
2019-11-18 13:54:08,209 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 13:54:08 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 13:54:12,074 INFO     Connection established with ('127.0.0.1', 49254)
2019-11-18 13:54:12 INFO     Connection established with ('127.0.0.1', 49254)
2019-11-18 13:54:16,394 INFO     Connection established with ('127.0.0.1', 49271)
2019-11-18 13:54:16 INFO     Connection established with ('127.0.0.1', 49271)
2019-11-18 13:54:49,381 WARNING  Client disconnected: <socket.socket fd=1544, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 49271)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 13:54:49 WARNING  Client disconnected: <socket.socket fd=1544, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 49271)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 13:54:50,646 WARNING  Client disconnected: <socket.socket fd=1496, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 49254)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 13:54:50 WARNING  Client disconnected: <socket.socket fd=1496, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 49254)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 14:10:32,362 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 14:10:32 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 14:10:34,455 INFO     Connection established with ('127.0.0.1', 56582)
2019-11-18 14:10:34 INFO     Connection established with ('127.0.0.1', 56582)
2019-11-18 14:10:40,090 INFO     Connection established with ('127.0.0.1', 56589)
2019-11-18 14:10:40 INFO     Connection established with ('127.0.0.1', 56589)
2019-11-18 14:13:42,459 WARNING  Client disconnected: <socket.socket fd=1404, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 56589)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 14:13:42 WARNING  Client disconnected: <socket.socket fd=1404, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 56589)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 14:13:43,763 WARNING  Client disconnected: <socket.socket fd=1572, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 56582)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 14:13:43 WARNING  Client disconnected: <socket.socket fd=1572, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 56582)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 14:16:25,836 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 14:16:25 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 14:16:29,427 INFO     Connection established with ('127.0.0.1', 57068)
2019-11-18 14:16:29 INFO     Connection established with ('127.0.0.1', 57068)
2019-11-18 14:16:32,748 INFO     Connection established with ('127.0.0.1', 57072)
2019-11-18 14:16:32 INFO     Connection established with ('127.0.0.1', 57072)
2019-11-18 14:16:32,985 ERROR    Error at run_client(): 'NoneType' object is not subscriptable
2019-11-18 14:16:32 ERROR    Error at run_client(): 'NoneType' object is not subscriptable
2019-11-18 14:16:33,775 ERROR    Error at run_client(): 'NoneType' object is not subscriptable
2019-11-18 14:16:33 ERROR    Error at run_client(): 'NoneType' object is not subscriptable
2019-11-18 14:16:51,605 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 14:16:51 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 14:16:54,419 INFO     Connection established with ('127.0.0.1', 57102)
2019-11-18 14:16:54 INFO     Connection established with ('127.0.0.1', 57102)
2019-11-18 14:16:57,694 INFO     Connection established with ('127.0.0.1', 57107)
2019-11-18 14:16:57 INFO     Connection established with ('127.0.0.1', 57107)
2019-11-18 14:17:40,867 WARNING  Client disconnected: <socket.socket fd=1516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 57107)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
